iter	Logloss
0	0.6904322815
1	0.6879747772
2	0.6857839966
3	0.6838948059
4	0.6812193298
5	0.679072113
6	0.6769967651
7	0.6748248291
8	0.6731628418
9	0.6713275146
10	0.6695367432
11	0.6678339386
12	0.6660571289
13	0.6644592285
14	0.6626795197
15	0.6607818604
16	0.6594018555
17	0.6574905396
18	0.6562127686
19	0.6549092102
20	0.6530622864
21	0.6514463043
22	0.6501599884
23	0.6485103607
24	0.6474780273
25	0.6462875366
26	0.6446972656
27	0.6432891083
28	0.6412205505
29	0.6400525665
30	0.6387210846
31	0.6374391556
32	0.6364937592
33	0.6352561951
34	0.6343545914
35	0.6334299088
36	0.6324195862
37	0.6312971497
38	0.6305805969
39	0.6296270752
40	0.6285923004
41	0.6274726105
42	0.6264408493
43	0.6254523087
44	0.6244095993
45	0.6235142517
46	0.6228507614
47	0.6218552399
48	0.6210387421
49	0.6203358841
50	0.6195657349
51	0.6188022232
52	0.6179730606
53	0.6172993469
54	0.61641922
55	0.6150757599
56	0.614580307
57	0.6140200043
58	0.6135527802
59	0.6129940033
60	0.6123484802
61	0.6114966965
62	0.6109034348
63	0.6101898193
64	0.6095922089
65	0.6089858246
66	0.6083631134
67	0.6078198242
68	0.607305603
69	0.6065880203
70	0.6059942245
71	0.6052291107
72	0.6046461487
73	0.6040332031
74	0.6035809708
75	0.6032627487
76	0.6027602386
77	0.6024427795
78	0.6020530701
79	0.6015143585
80	0.6011075211
81	0.6008244324
82	0.6003710937
83	0.5999638367
84	0.5996017838
85	0.5991978455
86	0.598857193
87	0.5985906982
88	0.5982138824
89	0.5976546478
90	0.5973418808
91	0.5969281387
92	0.5964377594
93	0.5959043121
94	0.5956047058
95	0.5951430893
96	0.5946180725
97	0.59415905
98	0.5939286041
99	0.5935800171
100	0.5930341721
101	0.5925711823
102	0.5922550964
103	0.5919085312
104	0.5915768051
105	0.5912276077
106	0.5910107803
107	0.5907529449
108	0.5903804016
109	0.5902739716
110	0.589871521
111	0.5896200562
112	0.5893082047
113	0.5889670944
114	0.588681488
115	0.5884472656
116	0.5880503845
117	0.5875895691
118	0.5872428513
119	0.5868057251
120	0.5864351654
121	0.5861528778
122	0.5857521439
123	0.5854886627
124	0.5852016449
125	0.5849273682
126	0.5845996094
127	0.584334259
128	0.5839348984
129	0.5835475922
130	0.5832870102
131	0.5828330231
132	0.5826390839
133	0.5823356628
134	0.5820674133
135	0.5817541504
136	0.5815843964
137	0.5814107895
138	0.5811392975
139	0.5808675385
140	0.5806291199
141	0.5803981018
142	0.5802321625
143	0.579966011
144	0.5796527863
145	0.5794774628
146	0.5793448257
147	0.5790976715
148	0.5786437225
149	0.5784494019
150	0.5782273102
151	0.5779915619
152	0.5777239609
153	0.5775643539
154	0.577325592
155	0.5770771027
156	0.5766323471
157	0.5763396072
158	0.5761355591
159	0.5759331894
160	0.57577034
161	0.5755604935
162	0.575178299
163	0.5749195862
164	0.5746970749
165	0.5744813538
166	0.5742222977
167	0.5741003036
168	0.5738971329
169	0.5736370087
170	0.5734024048
171	0.5731046677
172	0.5727970505
173	0.5725031281
174	0.5723165131
175	0.57215271
176	0.5719810486
177	0.5717507935
178	0.571638298
179	0.5716274261
180	0.5713859177
181	0.5711196899
182	0.5709161758
183	0.5707102585
184	0.5705138397
185	0.5703618622
186	0.5701332474
187	0.569937973
188	0.5696865845
189	0.5695579529
190	0.5692463303
191	0.5691279602
192	0.5689058685
193	0.5687911987
194	0.5686038208
195	0.5683193588
196	0.5682297897
197	0.568131752
198	0.5679811859
199	0.5678859711
200	0.5677295303
201	0.5675341415
202	0.5674459839
203	0.5672793198
204	0.56710495
205	0.566897583
206	0.5667459106
207	0.5665369415
208	0.5663994598
209	0.5661539459
210	0.5660951614
211	0.5659130096
212	0.5657635498
213	0.5655396271
214	0.5652717209
215	0.5650443268
216	0.5648031998
217	0.5646102142
218	0.5645029449
219	0.5643410492
220	0.5641967773
221	0.5640545654
222	0.5639031219
223	0.5637923813
224	0.5636629486
225	0.5634617996
226	0.5633359528
227	0.5632637024
228	0.5631335449
229	0.5629396057
230	0.5627606201
231	0.5626088715
232	0.5624845505
233	0.5622578049
234	0.5621385956
235	0.5619676971
236	0.5618044662
237	0.5616146088
238	0.5614351654
239	0.5612033081
240	0.5610596466
241	0.5609269714
242	0.5606846237
243	0.560510025
244	0.5603268433
245	0.5600860596
246	0.5599441528
247	0.559662323
248	0.5595404816
249	0.5593674469
250	0.5593056107
251	0.5590601349
252	0.5587722778
253	0.5585466766
254	0.558366394
255	0.55820755
256	0.5580792236
257	0.5579338837
258	0.5577661896
259	0.5575593567
260	0.5573433304
261	0.5569950104
262	0.5568868637
263	0.5567341614
264	0.5565507507
265	0.5564570618
266	0.5562902069
267	0.5561154556
268	0.555981369
269	0.5557849884
270	0.5556233215
271	0.5554555893
272	0.5552140808
273	0.5550307465
274	0.5549465942
275	0.5547652435
276	0.5545015335
277	0.5543309784
278	0.5542117691
279	0.5540752029
280	0.5540167618
281	0.5538544083
282	0.5536751175
283	0.5535303116
284	0.5533655548
285	0.5531482315
286	0.5530609131
287	0.5528942108
288	0.5526594543
289	0.5525032806
290	0.5523863983
291	0.5522373962
292	0.552079277
293	0.5519050598
294	0.551761322
295	0.5515679932
296	0.5514707184
297	0.5513086319
298	0.5511769104
299	0.5510347748
300	0.5508614349
301	0.5507317352
302	0.5505995178
303	0.5503731155
304	0.5502294922
305	0.5500514984
306	0.5499324799
307	0.5497759247
308	0.5496396255
309	0.5495072556
310	0.5493795776
311	0.5491589355
312	0.5490409088
313	0.5488931274
314	0.5487368774
315	0.5485972595
316	0.5484751129
317	0.5482798004
318	0.5481523895
319	0.5480592728
320	0.5479249954
321	0.5477676392
322	0.5475826263
323	0.5473072815
324	0.5471651459
325	0.5470517731
326	0.5468713379
327	0.5467441559
328	0.5465132523
329	0.5463374329
330	0.5462000275
331	0.5460163498
332	0.5458753586
333	0.5457129669
334	0.5456089783
335	0.545422287
336	0.5452899933
337	0.5451939774
338	0.5450427628
339	0.5449368668
340	0.5447680664
341	0.5446579742
342	0.5445758057
343	0.5443738556
344	0.5442195511
345	0.5440565872
346	0.5439268494
347	0.5437713623
348	0.5436559296
349	0.5435783386
350	0.5434462357
351	0.543323288
352	0.543092041
353	0.542964592
