iter	Passed	Remaining
0	122	122580
1	124	62374
2	126	42195
3	128	32110
4	130	26060
5	132	21980
6	134	19096
7	136	16958
8	138	15288
9	140	13937
10	142	12838
11	144	11918
12	146	11146
13	148	10482
14	152	9984
15	154	9479
16	156	9027
17	158	8633
18	160	8280
19	162	7952
20	164	7656
21	166	7400
22	168	7157
23	170	6931
24	172	6722
25	174	6535
26	176	6360
27	178	6198
28	180	6048
29	183	5921
30	185	5795
31	187	5679
32	189	5564
33	192	5456
34	194	5356
35	196	5261
36	199	5180
37	201	5095
38	203	5016
39	205	4940
40	208	4868
41	210	4804
42	213	4741
43	215	4687
44	218	4630
45	220	4570
46	222	4521
47	225	4468
48	227	4417
49	230	4373
50	232	4334
51	235	4291
52	237	4249
53	240	4210
54	243	4176
55	246	4158
56	249	4127
57	252	4099
58	255	4070
59	257	4037
60	260	4009
61	263	3992
62	266	3964
63	269	3946
64	272	3920
65	275	3897
66	278	3879
67	281	3857
68	284	3834
69	286	3811
70	289	3792
71	293	3783
72	296	3768
73	299	3749
74	302	3733
75	305	3715
76	311	3732
77	314	3718
78	317	3705
79	320	3687
80	323	3672
81	326	3654
82	329	3638
83	332	3621
84	334	3605
85	337	3590
86	340	3575
87	343	3564
88	346	3549
89	349	3535
90	352	3525
91	356	3515
92	359	3507
93	362	3495
94	365	3483
95	368	3473
96	372	3463
97	375	3456
98	378	3448
99	382	3439
100	385	3430
101	388	3423
102	392	3418
103	395	3410
104	399	3408
105	403	3400
106	407	3400
107	410	3393
108	414	3385
109	417	3379
110	421	3372
111	425	3373
112	429	3368
113	432	3365
114	437	3364
115	441	3362
116	444	3356
117	448	3354
118	452	3350
119	456	3347
120	460	3342
121	463	3337
122	467	3331
123	471	3330
124	475	3325
125	478	3318
126	482	3313
127	486	3311
128	489	3306
129	493	3302
130	497	3299
131	501	3300
132	505	3296
133	509	3292
134	512	3286
135	516	3282
136	520	3278
137	524	3274
138	527	3268
139	531	3262
140	535	3259
141	538	3253
142	542	3249
143	545	3244
144	549	3241
145	553	3239
146	557	3237
147	561	3232
148	565	3230
149	570	3231
150	574	3229
151	578	3229
152	585	3239
153	589	3239
154	593	3237
155	599	3244
156	604	3243
157	608	3242
158	612	3238
159	616	3237
160	620	3233
161	624	3231
162	628	3228
163	634	3233
164	638	3230
165	642	3226
166	647	3230
167	651	3228
168	655	3224
169	659	3220
170	663	3215
171	667	3211
172	670	3206
173	674	3203
174	679	3204
175	684	3202
176	688	3200
177	692	3199
178	697	3199
179	700	3189
180	704	3187
181	708	3183
182	712	3182
183	716	3179
184	727	3205
185	732	3203
186	736	3201
187	742	3208
188	747	3207
189	752	3207
190	758	3214
191	763	3214
192	768	3213
193	775	3223
194	780	3220
195	784	3219
196	790	3223
197	795	3220
198	799	3216
199	803	3213
200	807	3211
201	812	3207
202	815	3202
203	820	3200
204	824	3196
205	828	3193
206	832	3190
207	837	3188
208	841	3183
209	844	3178
210	848	3173
211	852	3170
212	856	3166
213	860	3161
214	864	3157
215	870	3157
216	874	3153
217	878	3149
218	882	3146
219	887	3147
220	891	3142
221	895	3139
222	899	3135
223	903	3131
224	907	3126
225	911	3121
226	916	3120
227	920	3115
228	924	3111
229	928	3107
230	932	3104
231	936	3101
232	941	3099
233	947	3103
234	952	3100
235	957	3098
236	960	3093
237	965	3092
238	970	3091
239	974	3087
240	978	3082
241	982	3078
242	986	3074
243	991	3073
244	996	3070
245	1000	3065
246	1005	3065
247	1009	3061
248	1013	3058
249	1018	3055
250	1022	3051
251	1027	3049
252	1031	3045
253	1035	3042
254	1040	3039
255	1046	3041
256	1050	3037
257	1054	3032
258	1059	3030
259	1063	3026
260	1067	3022
261	1071	3018
262	1076	3017
263	1081	3014
264	1085	3010
265	1089	3005
266	1093	3002
267	1098	3000
268	1102	2995
269	1106	2992
270	1110	2988
271	1114	2983
272	1119	2979
273	1125	2981
274	1129	2978
275	1134	2974
276	1138	2972
277	1142	2967
278	1147	2964
279	1150	2959
280	1155	2957
281	1159	2952
282	1163	2948
283	1167	2943
284	1172	2940
285	1176	2936
286	1179	2930
287	1183	2925
288	1187	2922
289	1191	2918
290	1195	2912
291	1199	2908
292	1204	2905
293	1208	2901
294	1213	2899
295	1219	2900
296	1223	2895
297	1227	2891
298	1231	2886
299	1236	2885
300	1240	2880
301	1244	2875
302	1248	2871
303	1252	2867
304	1256	2862
305	1259	2857
306	1263	2851
307	1268	2849
308	1271	2844
309	1275	2839
310	1279	2834
311	1283	2831
312	1287	2826
313	1291	2821
314	1295	2817
315	1299	2813
316	1303	2808
317	1307	2803
318	1311	2799
319	1315	2795
320	1319	2790
321	1323	2786
322	1326	2781
323	1331	2778
324	1336	2774
325	1339	2770
326	1344	2766
327	1348	2762
328	1351	2757
329	1355	2752
330	1359	2748
331	1363	2743
332	1367	2738
333	1371	2734
334	1375	2729
335	1379	2725
336	1382	2720
337	1386	2715
338	1390	2710
339	1395	2708
340	1399	2705
341	1404	2701
342	1410	2700
343	1413	2696
344	1417	2691
345	1421	2686
346	1425	2682
347	1429	2678
348	1434	2675
349	1438	2670
350	1442	2667
351	1446	2663
352	1450	2658
353	1454	2653
354	1458	2650
355	1462	2645
356	1466	2641
357	1470	2637
358	1475	2635
359	1479	2630
360	1483	2625
361	1487	2621
362	1492	2618
363	1496	2614
364	1500	2610
365	1504	2607
366	1508	2602
367	1512	2598
368	1516	2593
369	1521	2590
370	1525	2585
371	1528	2580
372	1532	2576
373	1537	2573
374	1541	2568
375	1545	2564
376	1548	2559
377	1553	2556
378	1557	2551
379	1561	2547
380	1565	2543
381	1570	2540
382	1573	2535
383	1577	2530
384	1581	2526
385	1584	2520
386	1588	2516
387	1592	2511
388	1596	2507
389	1602	2506
390	1606	2502
391	1611	2499
392	1615	2494
393	1619	2490
394	1623	2486
395	1627	2482
396	1632	2479
397	1636	2475
398	1640	2470
399	1643	2465
400	1648	2461
401	1650	2455
402	1654	2450
403	1657	2445
404	1661	2441
405	1665	2437
406	1669	2432
407	1672	2427
408	1676	2423
409	1681	2420
410	1685	2415
411	1689	2411
412	1693	2406
413	1698	2403
414	1702	2399
415	1705	2394
416	1710	2390
417	1714	2387
418	1718	2382
419	1721	2377
420	1725	2373
421	1731	2371
422	1734	2366
423	1738	2361
424	1741	2356
425	1745	2352
426	1749	2347
427	1752	2342
428	1756	2337
429	1760	2333
430	1764	2329
431	1768	2324
432	1771	2320
433	1776	2316
434	1780	2312
435	1783	2307
436	1787	2303
437	1792	2299
438	1795	2294
439	1799	2290
440	1803	2285
441	1807	2281
442	1811	2277
443	1815	2272
444	1818	2268
445	1823	2264
446	1827	2260
447	1831	2256
448	1835	2252
449	1839	2248
450	1843	2244
451	1847	2240
452	1851	2236
453	1856	2232
454	1860	2228
455	1864	2224
456	1868	2220
457	1874	2217
458	1877	2213
459	1881	2208
460	1886	2205
461	1890	2201
462	1894	2197
463	1898	2193
464	1903	2189
465	1906	2185
466	1910	2180
467	1915	2177
468	1919	2173
469	1921	2167
470	1925	2162
471	1929	2158
472	1933	2154
473	1937	2149
474	1941	2146
475	1945	2141
476	1949	2137
477	1953	2133
478	1957	2129
479	1961	2124
480	1965	2121
481	1969	2116
482	1973	2112
483	1976	2107
484	1980	2103
485	1984	2099
486	1988	2095
487	1992	2090
488	1997	2086
489	2001	2082
490	2004	2078
491	2008	2073
492	2012	2069
493	2016	2065
494	2020	2061
495	2024	2056
496	2027	2052
497	2032	2048
498	2035	2043
499	2039	2039
500	2044	2035
501	2048	2032
502	2052	2027
503	2055	2023
504	2060	2020
505	2064	2015
506	2068	2011
507	2072	2006
508	2076	2002
509	2080	1999
510	2084	1994
511	2088	1990
512	2092	1985
513	2096	1982
514	2100	1978
515	2104	1974
516	2109	1970
517	2113	1966
518	2117	1962
519	2120	1957
520	2125	1954
521	2129	1950
522	2133	1946
523	2138	1942
524	2142	1938
525	2147	1934
526	2151	1930
527	2157	1928
528	2162	1925
529	2167	1922
530	2172	1918
531	2174	1912
532	2178	1908
533	2182	1904
534	2186	1900
535	2191	1897
536	2194	1891
537	2198	1887
538	2201	1883
539	2206	1879
540	2210	1875
541	2214	1871
542	2219	1868
543	2223	1864
544	2227	1859
545	2232	1855
546	2236	1852
547	2240	1848
548	2244	1844
549	2249	1840
550	2254	1837
551	2258	1833
552	2262	1829
553	2267	1825
554	2271	1821
555	2275	1816
556	2279	1812
557	2283	1808
558	2287	1804
559	2291	1800
560	2294	1795
561	2299	1792
562	2303	1787
563	2307	1783
564	2311	1779
565	2316	1776
566	2320	1772
567	2324	1767
568	2328	1763
569	2334	1761
570	2338	1756
571	2343	1753
572	2347	1749
573	2351	1744
574	2355	1740
575	2358	1736
576	2363	1732
577	2367	1728
578	2371	1724
579	2376	1720
580	2380	1716
581	2384	1712
582	2388	1708
583	2392	1704
584	2397	1700
585	2401	1696
586	2405	1692
587	2409	1688
588	2414	1684
589	2417	1680
590	2421	1675
591	2426	1672
592	2430	1668
593	2435	1664
594	2439	1660
595	2443	1656
596	2447	1652
597	2451	1648
598	2455	1643
599	2459	1639
600	2463	1635
601	2467	1631
602	2471	1627
603	2476	1623
604	2480	1619
605	2484	1615
606	2487	1610
607	2492	1606
608	2496	1602
609	2499	1598
610	2503	1593
611	2507	1589
612	2511	1585
613	2514	1581
614	2518	1576
615	2522	1572
616	2526	1568
617	2529	1563
618	2533	1559
619	2536	1554
620	2540	1550
621	2544	1546
622	2548	1541
623	2551	1537
624	2556	1533
625	2559	1529
626	2563	1524
627	2567	1520
628	2571	1516
629	2575	1512
630	2579	1508
631	2583	1504
632	2588	1500
633	2591	1496
634	2595	1491
635	2599	1487
636	2603	1483
637	2607	1479
638	2611	1475
639	2614	1470
640	2619	1466
641	2622	1462
642	2626	1458
643	2630	1454
644	2635	1450
645	2638	1446
646	2643	1442
647	2647	1438
648	2651	1434
649	2655	1429
650	2659	1425
651	2663	1421
652	2668	1417
653	2672	1413
654	2675	1409
655	2681	1406
656	2685	1401
657	2689	1397
658	2693	1393
659	2698	1390
660	2702	1385
661	2706	1381
662	2710	1377
663	2715	1373
664	2719	1369
665	2722	1365
666	2726	1361
667	2731	1357
668	2735	1353
669	2739	1349
670	2743	1345
671	2747	1341
672	2751	1336
673	2755	1332
674	2760	1329
675	2764	1324
676	2767	1320
677	2771	1316
678	2776	1312
679	2779	1308
680	2783	1304
681	2788	1300
682	2793	1296
683	2797	1292
684	2802	1288
685	2807	1284
686	2811	1280
687	2815	1276
688	2819	1272
689	2823	1268
690	2827	1264
691	2831	1260
692	2835	1256
693	2841	1252
694	2846	1248
695	2850	1244
696	2855	1241
697	2859	1237
698	2863	1233
699	2867	1228
700	2872	1225
701	2876	1220
702	2880	1216
703	2884	1212
704	2889	1208
705	2892	1204
706	2897	1200
707	2901	1196
708	2906	1193
709	2911	1189
710	2915	1185
711	2921	1181
712	2925	1177
713	2928	1173
714	2932	1169
715	2937	1165
716	2941	1160
717	2945	1156
718	2949	1152
719	2953	1148
720	2957	1144
721	2961	1140
722	2966	1136
723	2970	1132
724	2974	1128
725	2978	1124
726	2983	1120
727	2987	1116
728	2991	1112
729	2995	1107
730	3000	1104
731	3004	1099
732	3007	1095
733	3011	1091
734	3017	1087
735	3021	1083
736	3024	1079
737	3028	1075
738	3032	1070
739	3035	1066
740	3039	1062
741	3042	1057
742	3046	1053
743	3050	1049
744	3054	1045
745	3057	1041
746	3061	1037
747	3065	1032
748	3069	1028
749	3072	1024
750	3076	1020
751	3080	1015
752	3083	1011
753	3087	1007
754	3091	1003
755	3095	999
756	3098	994
757	3102	990
758	3106	986
759	3111	982
760	3115	978
761	3118	974
762	3121	969
763	3127	966
764	3131	961
765	3134	957
766	3138	953
767	3143	949
768	3147	945
769	3151	941
770	3155	937
771	3159	933
772	3163	928
773	3166	924
774	3172	920
775	3176	916
776	3179	912
777	3183	908
778	3187	904
779	3191	900
780	3194	895
781	3198	891
782	3201	887
783	3207	883
784	3212	879
785	3215	875
786	3219	871
787	3224	867
788	3228	863
789	3231	859
790	3236	855
791	3240	851
792	3244	846
793	3248	842
794	3252	838
795	3256	834
796	3261	830
797	3265	826
798	3269	822
799	3272	818
800	3277	814
801	3280	810
802	3286	806
803	3289	802
804	3293	797
805	3297	793
806	3302	789
807	3305	785
808	3309	781
809	3313	777
810	3318	773
811	3322	769
812	3326	765
813	3329	760
814	3333	756
815	3337	752
816	3341	748
817	3345	744
818	3349	740
819	3353	736
820	3357	732
821	3361	727
822	3366	724
823	3371	720
824	3375	715
825	3379	711
826	3383	707
827	3387	703
828	3391	699
829	3395	695
830	3399	691
831	3403	687
832	3407	683
833	3413	679
834	3416	675
835	3420	671
836	3425	667
837	3429	662
838	3433	658
839	3437	654
840	3442	650
841	3447	646
842	3451	642
843	3455	638
844	3459	634
845	3463	630
846	3468	626
847	3471	622
848	3477	618
849	3481	614
850	3486	610
851	3491	606
852	3495	602
853	3499	598
854	3503	594
855	3509	590
856	3513	586
857	3516	582
858	3521	578
859	3526	574
860	3530	570
861	3534	565
862	3539	561
863	3544	557
864	3548	553
865	3552	549
866	3557	545
867	3561	541
868	3565	537
869	3569	533
870	3574	529
871	3578	525
872	3582	521
873	3587	517
874	3591	513
875	3594	508
876	3598	504
877	3602	500
878	3606	496
879	3610	492
880	3614	488
881	3618	484
882	3623	480
883	3626	475
884	3630	471
885	3635	467
886	3639	463
887	3643	459
888	3647	455
889	3653	451
890	3657	447
891	3660	443
892	3665	439
893	3668	435
894	3673	430
895	3677	426
896	3682	422
897	3687	418
898	3691	414
899	3695	410
900	3699	406
901	3704	402
902	3708	398
903	3713	394
904	3717	390
905	3721	386
